areaCode,areaName,areaType,date,newAdmissions,newCasesByPublishDate,newDeaths28DaysByDeathDate
E92000001,England,nation,10/22/21,760,41745,104
E92000001,England,nation,10/21/21,799,44363,114
E92000001,England,nation,10/20/21,903,41498,119
E92000001,England,nation,10/19/21,894,36712,103
E92000001,England,nation,10/18/21,896,39473,95
E92000001,England,nation,10/17/21,828,38543,104
E92000001,England,nation,10/16/21,743,39624,97
E92000001,England,nation,10/15/21,752,37691,107
E92000001,England,nation,10/14/21,730,38488,110
E92000001,England,nation,10/13/21,752,36458,89
E92000001,England,nation,10/12/21,760,33287,87
E92000001,England,nation,10/11/21,685,32349,93
E92000001,England,nation,10/10/21,606,31096,70
E92000001,England,nation,10/9/21,613,31259,92
E92000001,England,nation,10/8/21,619,32157,96
E92000001,England,nation,10/7/21,634,33305,92
E92000001,England,nation,10/6/21,632,33450,76
E92000001,England,nation,10/5/21,658,28846,87
E92000001,England,nation,10/4/21,627,28251,82
E92000001,England,nation,10/3/21,577,25176,75
E92000001,England,nation,10/2/21,549,26794,75
E92000001,England,nation,10/1/21,520,28836,98
E92000001,England,nation,9/30/21,552,29826,81
E92000001,England,nation,9/29/21,625,29036,85
E92000001,England,nation,9/28/21,596,28808,79
E92000001,England,nation,9/27/21,617,29329,79
E92000001,England,nation,9/26/21,535,25538,68
E92000001,England,nation,9/25/21,520,28087,92
E92000001,England,nation,9/24/21,557,28199,92
E92000001,England,nation,9/23/21,577,29045,104
E92000001,England,nation,9/22/21,572,27317,106
E92000001,England,nation,9/21/21,602,24973,93
E92000001,England,nation,9/20/21,606,26905,105
E92000001,England,nation,9/19/21,572,22173,90
E92000001,England,nation,9/18/21,560,22956,94
E92000001,England,nation,9/17/21,540,23265,127
E92000001,England,nation,9/16/21,672,22949,114
E92000001,England,nation,9/15/21,691,22078,104
E92000001,England,nation,9/14/21,701,19739,118
E92000001,England,nation,9/13/21,688,21077,72
E92000001,England,nation,9/12/21,658,19913,106
E92000001,England,nation,9/11/21,649,23825,105
E92000001,England,nation,9/10/21,680,26653,110
E92000001,England,nation,9/9/21,790,27049,132
E92000001,England,nation,9/8/21,900,29286,115
E92000001,England,nation,9/7/21,801,27545,124
E92000001,England,nation,9/6/21,831,27202,121
E92000001,England,nation,9/5/21,691,27022,118
E92000001,England,nation,9/4/21,752,29614,111
E92000001,England,nation,9/3/21,688,31726,126
E92000001,England,nation,9/2/21,788,28686,101
E92000001,England,nation,9/1/21,835,24723,96
E92000001,England,nation,8/31/21,798,20967,95
E92000001,England,nation,8/30/21,808,21324,91
E92000001,England,nation,8/29/21,701,22501,107
E92000001,England,nation,8/28/21,688,25118,105
E92000001,England,nation,8/27/21,749,27545,106
E92000001,England,nation,8/26/21,777,29417,105
E92000001,England,nation,8/25/21,843,27350,88
E92000001,England,nation,8/24/21,818,23474,104
E92000001,England,nation,8/23/21,831,24158,97
E92000001,England,nation,8/22/21,726,25952,104
E92000001,England,nation,8/21/21,757,26982,89
E92000001,England,nation,8/20/21,733,29576,101
E92000001,England,nation,8/19/21,824,29762,93
E92000001,England,nation,8/18/21,795,28648,82
E92000001,England,nation,8/17/21,832,22712,98
E92000001,England,nation,8/16/21,776,23171,77
E92000001,England,nation,8/15/21,719,22859,74
E92000001,England,nation,8/14/21,689,26700,82
E92000001,England,nation,8/13/21,694,28679,90
E92000001,England,nation,8/12/21,758,28093,92
E92000001,England,nation,8/11/21,747,26647,80
E92000001,England,nation,8/10/21,760,20630,69
E92000001,England,nation,8/9/21,665,21915,70
E92000001,England,nation,8/8/21,651,24196,66
E92000001,England,nation,8/7/21,630,25877,85
E92000001,England,nation,8/6/21,657,28321,80
E92000001,England,nation,8/5/21,693,26512,91
E92000001,England,nation,8/4/21,747,26393,71
E92000001,England,nation,8/3/21,680,19012,66
E92000001,England,nation,8/2/21,686,19175,68
E92000001,England,nation,8/1/21,645,21645,75
E92000001,England,nation,7/31/21,593,23949,77
E92000001,England,nation,7/30/21,650,26241,94
E92000001,England,nation,7/29/21,758,27524,68
E92000001,England,nation,7/28/21,728,24367,72
E92000001,England,nation,7/27/21,816,20290,59
E92000001,England,nation,7/26/21,830,22181,67
E92000001,England,nation,7/25/21,836,25434,64
E92000001,England,nation,7/24/21,734,28968,65
E92000001,England,nation,7/23/21,725,32792,72
E92000001,England,nation,7/22/21,827,35939,65
E92000001,England,nation,7/21/21,783,39504,45
E92000001,England,nation,7/20/21,805,43261,49
E92000001,England,nation,7/19/21,752,34657,70
E92000001,England,nation,7/18/21,698,44777,57
E92000001,England,nation,7/17/21,622,50955,44
E92000001,England,nation,7/16/21,593,47360,41
E92000001,England,nation,7/15/21,658,44523,44
E92000001,England,nation,7/14/21,636,37895,33
E92000001,England,nation,7/13/21,621,32883,38
E92000001,England,nation,7/12/21,610,30619,34
E92000001,England,nation,7/11/21,502,28421,26
E92000001,England,nation,7/10/21,442,29732,33
E92000001,England,nation,7/9/21,451,31231,39
E92000001,England,nation,7/8/21,488,28421,30
E92000001,England,nation,7/7/21,461,27516,23
E92000001,England,nation,7/6/21,458,25295,19
E92000001,England,nation,7/5/21,416,23286,24
E92000001,England,nation,7/4/21,390,20454,23
E92000001,England,nation,7/3/21,323,21317,24
E92000001,England,nation,7/2/21,307,22393,25
E92000001,England,nation,7/1/21,295,22948,22
E92000001,England,nation,6/30/21,331,21293,20
E92000001,England,nation,6/29/21,283,16802,20
E92000001,England,nation,6/28/21,244,18702,10
E92000001,England,nation,6/27/21,226,11560,19
E92000001,England,nation,6/26/21,223,15136,9
E92000001,England,nation,6/25/21,206,13498,21
E92000001,England,nation,6/24/21,194,13068,21
E92000001,England,nation,6/23/21,214,12765,6
E92000001,England,nation,6/22/21,182,9096,9
E92000001,England,nation,6/21/21,181,8766,13
E92000001,England,nation,6/20/21,171,7778,22
E92000001,England,nation,6/19/21,178,8954,19
E92000001,England,nation,6/18/21,185,9185,10
E92000001,England,nation,6/17/21,202,9371,5
E92000001,England,nation,6/16/21,177,7642,12
E92000001,England,nation,6/15/21,188,6486,15
E92000001,England,nation,6/14/21,185,6647,9
E92000001,England,nation,6/13/21,187,6269,7
E92000001,England,nation,6/12/21,137,6601,14
E92000001,England,nation,6/11/21,144,6782,6
E92000001,England,nation,6/10/21,162,6436,9
E92000001,England,nation,6/9/21,158,6201,6
E92000001,England,nation,6/8/21,147,5250,9
E92000001,England,nation,6/7/21,131,4913,5
E92000001,England,nation,6/6/21,121,4405,7
E92000001,England,nation,6/5/21,96,4810,6
E92000001,England,nation,6/4/21,96,5102,11
E92000001,England,nation,6/3/21,93,4310,10
E92000001,England,nation,6/2/21,101,3486,12
E92000001,England,nation,6/1/21,115,2539,3
E92000001,England,nation,5/31/21,98,2854,8
E92000001,England,nation,5/30/21,80,2621,8
E92000001,England,nation,5/29/21,69,2747,7
E92000001,England,nation,5/28/21,92,3434,6
E92000001,England,nation,5/27/21,83,2936,8
E92000001,England,nation,5/26/21,95,2540,12
E92000001,England,nation,5/25/21,88,2081,6
E92000001,England,nation,5/24/21,98,1972,8
E92000001,England,nation,5/23/21,77,1734,8
E92000001,England,nation,5/22/21,75,2242,3
E92000001,England,nation,5/21/21,85,2303,9
E92000001,England,nation,5/20/21,98,2307,6
E92000001,England,nation,5/19/21,93,2151,3
E92000001,England,nation,5/18/21,90,2008,3
E92000001,England,nation,5/17/21,74,1645,6
E92000001,England,nation,5/16/21,59,1471,6
E92000001,England,nation,5/15/21,70,1614,8
E92000001,England,nation,5/14/21,72,1828,3
E92000001,England,nation,5/13/21,74,2229,6
E92000001,England,nation,5/12/21,93,1804,9
E92000001,England,nation,5/11/21,79,2117,14
E92000001,England,nation,5/10/21,76,2009,10
E92000001,England,nation,5/9/21,76,1418,8
E92000001,England,nation,5/8/21,80,1742,9
E92000001,England,nation,5/7/21,77,2142,10
E92000001,England,nation,5/6/21,88,2194,7
E92000001,England,nation,5/5/21,96,1906,13
E92000001,England,nation,5/4/21,76,1659,9
E92000001,England,nation,5/3/21,98,1453,10
E92000001,England,nation,5/2/21,92,1377,12
E92000001,England,nation,5/1/21,68,1642,8
E92000001,England,nation,4/30/21,82,2046,12
E92000001,England,nation,4/29/21,80,2103,13
E92000001,England,nation,4/28/21,89,1829,15
E92000001,England,nation,4/27/21,128,2410,13
E92000001,England,nation,4/26/21,108,1752,10
E92000001,England,nation,4/25/21,107,1401,12
E92000001,England,nation,4/24/21,99,1804,7
E92000001,England,nation,4/23/21,124,2277,19
E92000001,England,nation,4/22/21,92,2315,15
E92000001,England,nation,4/21/21,126,1943,17
E92000001,England,nation,4/20/21,98,2169,17
E92000001,England,nation,4/19/21,138,2550,16
E92000001,England,nation,4/18/21,112,1495,16
E92000001,England,nation,4/17/21,135,1897,21
E92000001,England,nation,4/16/21,118,2225,16
E92000001,England,nation,4/15/21,127,2171,18
E92000001,England,nation,4/14/21,156,2054,9
E92000001,England,nation,4/13/21,153,2070,20
E92000001,England,nation,4/12/21,173,3222,27
E92000001,England,nation,4/11/21,175,1338,21
E92000001,England,nation,4/10/21,151,2032,19
E92000001,England,nation,4/9/21,167,2638,20
E92000001,England,nation,4/8/21,167,2486,32
E92000001,England,nation,4/7/21,189,2304,24
E92000001,England,nation,4/6/21,183,1937,23
E92000001,England,nation,4/5/21,188,2236,11
E92000001,England,nation,4/4/21,156,1954,25
E92000001,England,nation,4/3/21,179,2847,27
E92000001,England,nation,4/2/21,178,2881,22
E92000001,England,nation,4/1/21,180,3784,29
E92000001,England,nation,3/31/21,225,3327,37
E92000001,England,nation,3/30/21,217,3384,38
E92000001,England,nation,3/29/21,206,4112,27
E92000001,England,nation,3/28/21,221,3153,27
E92000001,England,nation,3/27/21,217,3813,32
E92000001,England,nation,3/26/21,245,5273,41
E92000001,England,nation,3/25/21,288,5286,38
E92000001,England,nation,3/24/21,277,4615,35
E92000001,England,nation,3/23/21,295,4583,48
E92000001,England,nation,3/22/21,294,4746,59
E92000001,England,nation,3/21/21,279,4459,71
E92000001,England,nation,3/20/21,287,4732,59
E92000001,England,nation,3/19/21,283,3809,56
E92000001,England,nation,3/18/21,351,5213,51
E92000001,England,nation,3/17/21,343,4827,66
E92000001,England,nation,3/16/21,364,4391,69
E92000001,England,nation,3/15/21,431,4264,88
E92000001,England,nation,3/14/21,357,3774,83
E92000001,England,nation,3/13/21,385,4539,99
E92000001,England,nation,3/12/21,386,5529,81
E92000001,England,nation,3/11/21,449,5744,109
E92000001,England,nation,3/10/21,494,4863,99
E92000001,England,nation,3/9/21,483,4894,117
E92000001,England,nation,3/8/21,501,3903,122
E92000001,England,nation,3/7/21,461,4497,115
E92000001,England,nation,3/6/21,528,5118,128
E92000001,England,nation,3/5/21,487,5053,156
E92000001,England,nation,3/4/21,596,5643,130
E92000001,England,nation,3/3/21,607,5408,126
E92000001,England,nation,3/2/21,683,5530,157
E92000001,England,nation,3/1/21,704,4738,192
E92000001,England,nation,2/28/21,662,5080,198
E92000001,England,nation,2/27/21,624,6527,197
E92000001,England,nation,2/26/21,718,7393,196
E92000001,England,nation,2/25/21,832,8623,222
E92000001,England,nation,2/24/21,874,8644,241
E92000001,England,nation,2/23/21,976,7292,257
E92000001,England,nation,2/22/21,980,9420,242
E92000001,England,nation,2/21/21,1009,8408,286
E92000001,England,nation,2/20/21,904,8964,305
E92000001,England,nation,2/19/21,1068,10296,316
E92000001,England,nation,2/18/21,1149,10740,366
E92000001,England,nation,2/17/21,1233,10926,385
E92000001,England,nation,2/16/21,1311,9236,397
E92000001,England,nation,2/15/21,1322,8609,461
E92000001,England,nation,2/14/21,1364,9499,438
E92000001,England,nation,2/13/21,1240,11697,432
E92000001,England,nation,2/12/21,1318,13299,459
E92000001,England,nation,2/11/21,1440,12001,513
E92000001,England,nation,2/10/21,1535,11551,544
E92000001,England,nation,2/9/21,1531,10916,541
E92000001,England,nation,2/8/21,1739,12270,613
E92000001,England,nation,2/7/21,1675,14466,569
E92000001,England,nation,2/6/21,1679,16302,612
E92000001,England,nation,2/5/21,1757,17314,677
E92000001,England,nation,2/4/21,1907,18529,651
E92000001,England,nation,2/3/21,2096,17265,779
E92000001,England,nation,2/2/21,2222,15021,762
E92000001,England,nation,2/1/21,2347,16815,809
E92000001,England,nation,1/31/21,2183,19054,813
E92000001,England,nation,1/30/21,2193,21089,833
E92000001,England,nation,1/29/21,2379,26709,945
E92000001,England,nation,1/28/21,2719,26182,1019
E92000001,England,nation,1/27/21,2742,22914,1011
E92000001,England,nation,1/26/21,2799,17920,966
E92000001,England,nation,1/25/21,2648,20149,1075
E92000001,England,nation,1/24/21,2824,27580,1042
E92000001,England,nation,1/23/21,2780,30496,1065
E92000001,England,nation,1/22/21,3016,37115,1125
E92000001,England,nation,1/21/21,3237,34371,1136
E92000001,England,nation,1/20/21,3679,35061,1177
E92000001,England,nation,1/19/21,3768,30371,1249
E92000001,England,nation,1/18/21,3711,34134,1170
E92000001,England,nation,1/17/21,3424,35263,1172
E92000001,England,nation,1/16/21,3569,37759,1175
E92000001,England,nation,1/15/21,3295,50741,1104
E92000001,England,nation,1/14/21,3678,44358,1092
E92000001,England,nation,1/13/21,3840,42898,1106
E92000001,England,nation,1/12/21,4134,41121,1095
E92000001,England,nation,1/11/21,3894,41835,1006
E92000001,England,nation,1/10/21,3571,50291,983
E92000001,England,nation,1/9/21,3718,54257,931
E92000001,England,nation,1/8/21,3549,61757,890
E92000001,England,nation,1/7/21,3849,46841,890
E92000001,England,nation,1/6/21,3967,56060,827
E92000001,England,nation,1/5/21,3697,54940,823
E92000001,England,nation,1/4/21,3587,53180,758
E92000001,England,nation,1/3/21,3351,46853,653
E92000001,England,nation,1/2/21,3145,49248,672
E92000001,England,nation,1/1/21,3010,50746,644
E92000001,England,nation,12/31/20,2536,49510,653
E92000001,England,nation,12/30/20,2861,43554,627
E92000001,England,nation,12/29/20,2886,47164,581
E92000001,England,nation,12/28/20,2795,36511,591
E92000001,England,nation,12/27/20,2572,25619,581
E92000001,England,nation,12/26/20,2298,31307,570
E92000001,England,nation,12/25/20,1952,31560,540
E92000001,England,nation,12/24/20,1795,35561,488
E92000001,England,nation,12/23/20,1980,34247,482
E92000001,England,nation,12/22/20,2203,32288,491
E92000001,England,nation,12/21/20,2115,28742,497
E92000001,England,nation,12/20/20,1976,32155,429
E92000001,England,nation,12/19/20,1812,22775,413
E92000001,England,nation,12/18/20,1672,24452,434
E92000001,England,nation,12/17/20,1873,22401,440
E92000001,England,nation,12/16/20,1796,23432,354
E92000001,England,nation,12/15/20,1730,16504,390
E92000001,England,nation,12/14/20,1746,17882,412
E92000001,England,nation,12/13/20,1581,17164,366
E92000001,England,nation,12/12/20,1587,17468,375
E92000001,England,nation,12/11/20,1450,17899,398
E92000001,England,nation,12/10/20,1524,17622,379
E92000001,England,nation,12/9/20,1550,12960,375
E92000001,England,nation,12/8/20,1528,10459,376
E92000001,England,nation,12/7/20,1466,11623,359
E92000001,England,nation,12/6/20,1311,14294,356
E92000001,England,nation,12/5/20,1186,12666,344
E92000001,England,nation,12/4/20,1248,13412,413
E92000001,England,nation,12/3/20,1337,11992,406
E92000001,England,nation,12/2/20,1262,13323,337
E92000001,England,nation,12/1/20,1271,11618,346
E92000001,England,nation,11/30/20,1216,10869,363
E92000001,England,nation,11/29/20,1215,10054,404
E92000001,England,nation,11/28/20,1065,13323,387
E92000001,England,nation,11/27/20,1055,13557,365
E92000001,England,nation,11/26/20,1198,14637,373
E92000001,England,nation,11/25/20,1415,15893,429
E92000001,England,nation,11/24/20,1277,9854,409
E92000001,England,nation,11/23/20,1385,13329,400
E92000001,England,nation,11/22/20,1333,16668,408
E92000001,England,nation,11/21/20,1255,17615,398
E92000001,England,nation,11/20/20,1316,17845,391
E92000001,England,nation,11/19/20,1484,20291,398
E92000001,England,nation,11/18/20,1571,17189,437
E92000001,England,nation,11/17/20,1491,17549,368
E92000001,England,nation,11/16/20,1560,19423,358
E92000001,England,nation,11/15/20,1467,21998,383
E92000001,England,nation,11/14/20,1388,24298,361
E92000001,England,nation,11/13/20,1433,24540,358
E92000001,England,nation,11/12/20,1666,30843,352
E92000001,England,nation,11/11/20,1711,19970,311
E92000001,England,nation,11/10/20,1592,18622,319
E92000001,England,nation,11/9/20,1551,19036,403
E92000001,England,nation,11/8/20,1488,18293,341
E92000001,England,nation,11/7/20,1319,21875,335
E92000001,England,nation,11/6/20,1182,20268,334
E92000001,England,nation,11/5/20,1346,21137,301
E92000001,England,nation,11/4/20,1382,21863,278
E92000001,England,nation,11/3/20,1246,17330,292
E92000001,England,nation,11/2/20,1331,15860,287
E92000001,England,nation,11/1/20,1280,20602,287
E92000001,England,nation,10/31/20,1240,18864,282
E92000001,England,nation,10/30/20,1109,20821,282
E92000001,England,nation,10/29/20,1345,19740,250
E92000001,England,nation,10/28/20,1239,21245,238
E92000001,England,nation,10/27/20,1190,19629,219
E92000001,England,nation,10/26/20,1279,17883,224
E92000001,England,nation,10/25/20,1186,16487,207
E92000001,England,nation,10/24/20,990,19332,170
E92000001,England,nation,10/23/20,997,17116,189
E92000001,England,nation,10/22/20,987,17354,187
E92000001,England,nation,10/21/20,997,22948,191
E92000001,England,nation,10/20/20,925,17814,174
E92000001,England,nation,10/19/20,861,16365,159
E92000001,England,nation,10/18/20,870,14704,121
E92000001,England,nation,10/17/20,785,13299,162
E92000001,England,nation,10/16/20,632,12176,122
E92000001,England,nation,10/15/20,792,16139,124
E92000001,England,nation,10/14/20,706,16132,102
E92000001,England,nation,10/13/20,764,14310,87
E92000001,England,nation,10/12/20,664,11647,96
E92000001,England,nation,10/11/20,628,10383,104
E92000001,England,nation,10/10/20,515,12628,90
E92000001,England,nation,10/9/20,544,10772,68
E92000001,England,nation,10/8/20,513,14952,78
E92000001,England,nation,10/7/20,491,11528,81
E92000001,England,nation,10/6/20,524,12648,62
E92000001,England,nation,10/5/20,472,10685,59
E92000001,England,nation,10/4/20,478,21309,54
E92000001,England,nation,10/3/20,386,10806,55
E92000001,England,nation,10/2/20,371,4797,64
E92000001,England,nation,10/1/20,368,5589,56
E92000001,England,nation,9/30/20,328,5656,48
E92000001,England,nation,9/29/20,310,5651,43
E92000001,England,nation,9/28/20,308,3316,47
E92000001,England,nation,9/27/20,241,4800,44
E92000001,England,nation,9/26/20,245,4639,35
E92000001,England,nation,9/25/20,274,5723,30
E92000001,England,nation,9/24/20,288,5632,33
E92000001,England,nation,9/23/20,314,5083,52
E92000001,England,nation,9/22/20,268,4187,35
E92000001,England,nation,9/21/20,275,3754,24
E92000001,England,nation,9/20/20,237,3279,28
E92000001,England,nation,9/19/20,204,3638,18
E92000001,England,nation,9/18/20,205,3771,21
E92000001,England,nation,9/17/20,199,2788,25
E92000001,England,nation,9/16/20,183,3396,23
E92000001,England,nation,9/15/20,194,2649,15
E92000001,England,nation,9/14/20,172,2259,17
E92000001,England,nation,9/13/20,153,2837,15
E92000001,England,nation,9/12/20,143,3008,18
E92000001,England,nation,9/11/20,135,3143,10
E92000001,England,nation,9/10/20,143,2578,12
E92000001,England,nation,9/9/20,136,2286,10
E92000001,England,nation,9/8/20,99,2094,10
E92000001,England,nation,9/7/20,84,2528,13
E92000001,England,nation,9/6/20,85,2576,9
E92000001,England,nation,9/5/20,94,1477,12
E92000001,England,nation,9/4/20,67,1669,8
E92000001,England,nation,9/3/20,69,1507,6
E92000001,England,nation,9/2/20,79,1239,9
E92000001,England,nation,9/1/20,58,1041,4
E92000001,England,nation,8/31/20,52,1149,8
E92000001,England,nation,8/30/20,38,1487,6
E92000001,England,nation,8/29/20,52,891,5
E92000001,England,nation,8/28/20,44,1106,9
E92000001,England,nation,8/27/20,69,1350,10
E92000001,England,nation,8/26/20,52,875,11
E92000001,England,nation,8/25/20,60,1065,11
E92000001,England,nation,8/24/20,41,758,5
E92000001,England,nation,8/23/20,44,938,15
E92000001,England,nation,8/22/20,25,1060,7
E92000001,England,nation,8/21/20,49,908,7
E92000001,England,nation,8/20/20,45,1035,8
E92000001,England,nation,8/19/20,58,707,3
E92000001,England,nation,8/18/20,56,975,7
